_NAME_	COMMUNAL
v000190	0.5767229611
v000152	0.5948479728
v000087	0.612717486
v000024	0.6165550681
v000133	0.6176892022
v000065	0.6183718221
v000029	0.6256533411
v000129	0.6416120166
v000107	0.6456502758
v000181	0.6482788003
v000004	0.64854418
v000022	0.6503186905
v000015	0.6549094379
v000188	0.6556667944
v000159	0.6624831627
v000033	0.6627625139
v000119	0.6628729651
v000195	0.6738732123
v000084	0.6794458045
v000099	0.6806975754
v000189	0.6874045171
v000138	0.6909243511
v000002	0.6936486205
v000048	0.6949711099
v000054	0.6997332812
v000156	0.7004199307
v000103	0.7016566843
v000009	0.7053286647
v000085	0.7060129716
v000193	0.7123270292
v000086	0.7184169695
v000026	0.7186327267
v000194	0.7213693785
v000017	0.7231581838
v000045	0.7235281759
v000023	0.7271195714
v000070	0.7289273465
v000094	0.7290026801
v000019	0.7302971863
v000098	0.7342444768
v000116	0.7349208778
v000146	0.7364077181
v000162	0.7382171967
v000186	0.7399876589
v000166	0.7407262859
v000060	0.7419305107
v000003	0.7437827713
v000035	0.7462769586
v000062	0.7488169306
v000142	0.7507522057
v000109	0.7514967585
v000125	0.7568040781
v000079	0.7586061357
v000184	0.762269055
v000169	0.7629467287
v000018	0.7630507413
v000187	0.7637902522
v000052	0.7641911146
v000016	0.7642983023
v000173	0.7644088511
v000034	0.7674509785
v000182	0.7693839591
v000005	0.7702635786
v000200	0.774002319
v000088	0.7843012547
v000168	0.7851272101
v000082	0.7938849161
v000176	0.7939567906
v000007	0.7948219362
v000114	0.7955841871
v000137	0.7967678433
v000053	0.7989104853
v000097	0.8002602017
v000075	0.8013539157
v000028	0.8025220685
v000096	0.8043464665
v000122	0.8135235842
v000120	0.8156964017
v000118	0.8189350046
v000044	0.8209502206
v000157	0.8212789844
v000074	0.822914507
v000093	0.827948962
v000089	0.828926547
v000178	0.8289649944
v000160	0.8291370527
v000042	0.8310691493
v000177	0.831415964
v000111	0.8335302086
v000092	0.8380079784
v000185	0.8509372139
v000136	0.8521938719
v000126	0.8531069992
v000135	0.8535775866
v000020	0.8583102193
v000171	0.8623480754
v000174	0.8659160613
v000158	0.8688572061
v000041	0.8712715145
v000090	0.8714198415
v000095	0.8717224303
v000183	0.8741281865
v000013	0.8791335253
v000112	0.8885244232
v000163	0.8889325833
v000150	0.8921220886
v000199	0.8936848669
v000172	0.8978507598
v000011	0.9007895978
v000196	0.9039169013
v000076	0.9107724319
v000165	0.913305502
v000155	0.9165475775
v000102	0.9174217981
v000046	0.922469062
v000083	0.9251267862
v000153	0.9308248158
v000043	0.9314491969
v000001	0.9329820409
v000130	0.9397659933
v000073	0.9520610607
v000127	0.9601317467
v000121	0.9616280084
v000144	0.9646326693
v000117	0.9655716918
v000108	0.9657316964
v000161	0.9802160776
v000037	0.9909447575
v000147	0.9914452822
v000055	0.9964430157
v000069	0.9970794903
v000027	1.003595796
v000072	1.0043744187
v000191	1.0078582951
v000197	1.0124674745
v000132	1.0128451924
v000123	1.01298344
v000039	1.0195239731
v000139	1.0222292012
v000154	1.0244554122
v000040	1.0276360195
v000071	1.0454311516
v000115	1.045478215
v000164	1.0468328435
v000056	1.0488467158
v000063	1.0510479562
v000105	1.061465131
v000148	1.0852779491
v000067	1.1004664511
v000131	1.1043606405
v000081	1.1121302011
v000134	1.1129812098
v000057	1.1315404152
v000141	1.1397355013
v000036	1.1453230402
v000010	1.1558434764
v000100	1.1575449764
v000059	1.1672806119
v000051	1.1679376113
v000008	1.1789823493
v000077	1.1819420787
v000050	1.18273619
v000192	1.1954214488
v000149	1.2059953919
v000140	1.2073860579
v000025	1.225851864
v000101	1.2270233087
v000014	1.2276023854
v000175	1.2628236645
v000128	1.2946289053
v000106	1.3162009197
v000104	1.3162765379
v000031	1.3358454204
v000061	1.3687796014
v000030	1.3837187956
v000038	1.3971475668
v000198	1.404601335
v000091	1.4183555481
v000078	1.4322264082
v000064	1.4434777267
v000032	1.5284713511
v000058	1.5470581043
v000110	1.5653350034
v000145	1.579090979
v000180	1.5899726402
v000167	1.6207373915
v000170	1.6221514752
v000068	1.6431750831
v000049	1.6655377423
v000006	1.6841683688
v000080	1.7413736176
v000151	1.7487268383
v000021	1.7575517539
v000124	1.7853247365
v000066	1.8214503933
v000012	1.8427030735
v000113	1.9792884371
v000143	2.3991701243
v000047	2.6013832749
v000179	4.3316066682
